iter	RMSE
0	107.1813895
1	97.14917435
2	88.26909116
3	80.21008717
4	72.74405269
5	66.03886446
6	60.0022591
7	54.62207256
8	49.55668655
9	45.04105912
10	41.15634176
11	37.65868834
12	34.30094188
13	31.40333359
14	28.73689746
15	26.31155213
16	24.26625491
17	22.31814508
18	20.50424886
19	18.91416668
20	17.46860412
21	16.23330514
22	15.11475809
23	14.10885177
24	13.20386771
25	12.4377507
26	11.72834137
27	11.14988422
28	10.58086085
29	10.08961123
30	9.682299863
31	9.342799334
32	9.028517068
33	8.741266781
34	8.472463653
35	8.254067849
36	8.035467911
37	7.93661662
38	7.84127512
39	7.662337329
40	7.502809788
41	7.358177662
42	7.219673942
43	7.084074038
44	7.019041101
45	6.946035554
46	6.879491464
47	6.776815268
48	6.710931512
49	6.608908775
50	6.520203676
51	6.475648869
52	6.420817895
53	6.357247344
54	6.309681388
55	6.259535953
56	6.204676644
57	6.170094957
58	6.129729605
59	6.095167516
60	6.04293467
61	6.009931455
62	5.97780075
63	5.947104531
64	5.913399999
65	5.864294702
66	5.837086949
67	5.812156151
68	5.789106165
69	5.733955002
70	5.705206191
71	5.679780518
72	5.658183038
73	5.613692895
74	5.581659963
75	5.529008003
76	5.513122969
77	5.49650816
78	5.466655227
79	5.435984636
80	5.403625378
81	5.389514176
82	5.355653559
83	5.334057496
84	5.305839751
85	5.278734446
86	5.259760775
87	5.248077207
88	5.217655593
89	5.193983936
90	5.170206229
91	5.154657814
92	5.118902925
93	5.096325327
94	5.074788554
95	5.040676983
96	5.023510158
97	4.982805174
98	4.964977457
99	4.939255212
100	4.921299128
101	4.899293729
102	4.871281074
103	4.856038048
104	4.83989285
105	4.824920584
106	4.810577703
107	4.797232657
108	4.784648554
109	4.762640216
110	4.75108354
111	4.731507015
112	4.720557267
113	4.707146502
114	4.66186331
115	4.651507343
116	4.615655069
117	4.576571614
118	4.566246728
119	4.556674877
120	4.547629725
121	4.517336028
122	4.499599388
123	4.489042492
124	4.455482349
125	4.447537433
126	4.436905216
127	4.421178567
128	4.411780072
129	4.40097636
130	4.374201414
131	4.359805398
132	4.33126329
133	4.312298706
134	4.297659863
135	4.284359342
136	4.277263608
137	4.265834606
138	4.245072144
139	4.226458581
140	4.212029658
141	4.185045718
142	4.169751952
143	4.162927547
144	4.154106753
145	4.147721197
146	4.141702124
147	4.124969225
148	4.119255487
149	4.115139484
150	4.100319316
151	4.078593641
152	4.073197791
153	4.0623436
154	4.050637911
155	4.038605455
156	4.016804365
157	4.001937533
158	3.990849323
159	3.976713879
160	3.969519703
161	3.965247488
162	3.958897681
163	3.954145186
164	3.949674066
165	3.94528666
166	3.941197725
167	3.93504792
168	3.931303264
169	3.915477332
170	3.898573745
171	3.893651084
172	3.884641937
173	3.880131257
174	3.876744492
175	3.873955842
176	3.870720566
177	3.866814107
178	3.852607806
179	3.841313587
180	3.824553625
181	3.808944753
182	3.803763446
183	3.799819946
184	3.791472258
185	3.789520079
186	3.770934187
187	3.758285841
188	3.746386457
189	3.735544713
190	3.721911204
191	3.710880209
192	3.69934706
193	3.682681599
194	3.675018058
195	3.659555791
196	3.651585656
197	3.635247842
198	3.625568281
199	3.619182825
200	3.61217103
201	3.603535389
202	3.595263249
203	3.577053206
204	3.567246355
205	3.559589449
206	3.542647053
207	3.528916501
208	3.51692298
209	3.511605663
210	3.506588512
211	3.494560811
212	3.487501446
213	3.476973136
214	3.462705835
215	3.458078306
216	3.446078565
217	3.438309146
218	3.427616474
219	3.420384204
220	3.413326218
221	3.403397488
222	3.398406248
223	3.389537277
224	3.374462794
225	3.366791053
226	3.362120716
227	3.348382373
228	3.339702645
229	3.330864423
230	3.321388949
231	3.317385657
232	3.313127126
233	3.30625599
234	3.30204195
235	3.297569103
236	3.290692132
237	3.283649208
238	3.280375228
239	3.274104892
240	3.267284762
241	3.258476189
242	3.250563701
243	3.245883715
244	3.238956211
245	3.232792057
246	3.228893708
247	3.221821989
248	3.211775238
249	3.201421617
250	3.191948412
251	3.183673428
252	3.177449967
253	3.173035616
254	3.163928628
255	3.156520182
256	3.151923373
257	3.143699738
258	3.13449847
259	3.132470267
260	3.127305997
261	3.122311585
262	3.119687114
263	3.113073954
264	3.105763506
265	3.102737544
266	3.097897075
267	3.089978356
268	3.084264433
269	3.079100298
270	3.074281659
271	3.067128875
272	3.064567351
273	3.056843269
274	3.051255216
275	3.046972226
276	3.041469315
277	3.034611787
278	3.031437341
279	3.027798284
280	3.021485453
281	3.014996231
282	3.010007806
283	3.003313078
284	2.998267003
285	2.992968999
286	2.989218647
287	2.985790551
288	2.9798298
289	2.973880511
290	2.970908149
291	2.967149926
292	2.962615089
293	2.957417795
294	2.950731875
295	2.948816029
296	2.946394082
297	2.942918618
298	2.935153383
299	2.930857051
