iter	Passed	Remaining
0	1	553
1	3	540
2	6	595
3	8	603
4	10	596
5	12	603
6	14	588
7	15	569
8	17	559
9	18	539
10	20	532
11	21	525
12	23	518
13	25	513
14	29	551
15	30	544
16	32	537
17	33	531
18	34	517
19	36	507
20	37	503
21	39	501
22	41	497
23	44	511
24	46	516
25	51	541
26	54	551
27	57	560
28	60	568
29	63	575
30	67	582
31	70	589
32	73	596
33	77	605
34	79	605
35	83	615
36	87	620
37	88	612
38	92	617
39	95	619
40	98	621
41	101	623
42	103	616
43	104	609
44	105	598
45	107	591
46	108	586
47	110	580
48	112	574
49	113	568
50	115	563
51	115	552
52	117	547
53	119	542
54	120	537
55	121	530
56	123	527
57	124	520
58	126	516
59	127	508
60	128	504
61	129	498
62	131	493
63	132	488
64	134	486
65	136	482
66	137	479
67	139	474
68	140	470
69	142	467
70	144	464
71	145	461
72	147	458
73	148	453
74	151	455
75	153	452
76	156	454
77	158	450
78	159	446
79	160	442
80	162	439
81	164	436
82	165	432
83	166	429
84	168	426
85	171	426
86	172	423
87	174	419
88	176	417
89	177	415
90	179	412
91	181	410
92	183	407
93	184	403
94	185	400
95	187	397
96	188	394
97	191	394
98	194	395
99	197	395
100	202	399
101	204	396
102	207	397
103	210	397
104	213	397
105	217	398
106	220	397
107	224	399
108	226	396
109	229	396
110	232	396
111	236	396
112	240	398
113	242	396
114	246	395
115	249	396
116	252	395
117	254	392
118	259	395
119	261	392
120	264	391
121	267	390
122	271	390
123	274	389
124	277	388
125	280	387
126	284	387
127	286	384
128	289	383
129	292	382
130	295	381
131	299	381
132	302	379
133	304	377
134	308	377
135	312	376
136	313	373
137	319	375
138	321	372
139	325	371
140	329	371
141	333	371
142	335	368
143	339	367
144	341	365
145	345	364
146	347	361
147	350	360
148	352	357
149	354	354
150	355	350
151	357	347
152	358	344
153	360	341
154	362	338
155	363	335
156	366	333
157	368	330
158	369	327
159	371	324
160	372	321
161	374	318
162	375	316
163	377	313
164	379	310
165	380	306
166	381	304
167	383	301
168	384	298
169	386	295
170	387	292
171	389	289
172	390	286
173	392	284
174	394	281
175	395	278
176	397	276
177	399	273
178	401	271
179	402	268
180	404	265
181	405	262
182	406	259
183	408	257
184	409	254
185	411	251
186	412	249
187	414	246
188	416	244
189	417	241
190	419	239
191	420	236
192	421	233
193	423	231
194	425	229
195	428	227
196	429	224
197	431	222
198	433	219
199	435	217
200	436	215
201	438	212
202	440	210
203	441	207
204	443	205
205	444	203
206	452	203
207	455	201
208	457	198
209	458	196
210	460	194
211	462	191
212	463	189
213	465	186
214	466	184
215	468	182
216	469	179
217	471	177
218	474	175
219	476	173
220	478	170
221	479	168
222	483	166
223	484	164
224	486	162
225	487	159
226	489	157
227	490	155
228	492	152
229	494	150
230	496	148
231	498	146
232	500	143
233	501	141
234	502	139
235	504	136
236	506	134
237	507	132
238	509	130
239	511	127
240	513	125
241	515	123
242	517	121
243	526	120
244	528	118
245	529	116
246	531	113
247	532	111
248	533	109
249	535	107
250	536	104
251	538	102
252	539	100
253	541	98
254	542	95
255	544	93
256	545	91
257	547	89
258	549	86
259	550	84
260	552	82
261	553	80
262	555	78
263	556	75
264	558	73
265	560	71
266	561	69
267	562	67
268	564	65
269	566	62
270	568	60
271	569	58
272	570	56
273	572	54
274	574	52
275	576	50
276	578	48
277	579	45
278	581	43
279	582	41
280	583	39
281	585	37
282	587	35
283	588	33
284	591	31
285	593	29
286	594	26
287	596	24
288	598	22
289	599	20
290	601	18
291	602	16
292	604	14
293	606	12
294	608	10
295	610	8
296	611	6
297	612	4
298	614	2
299	616	0
